message_id,sender_id,timestamp,message_type,text,media_links,hashtags,urls,replies,views,forwards,sender_name,sender_username,group_id
1,329,2025-01-02T18:24:46,text,Hope recognize quality billion cover must.,,['evening'],['https://www.matthews.com/'],5,1021,8,Mr. Jesus Jones,hwhite,69
2,20,2025-01-15T18:22:35,text,Themselves in out save project.,,['church'],[],48,4088,86,Carlos Buchanan,feliciaodonnell,177
3,156,2025-01-03T11:14:41,text,Painting serve table feel open black despite.,,"['task', 'soon', 'near']",['http://www.salazar.com/'],27,3735,107,Jacob Campos,john03,54
4,51,2025-01-05T08:04:30,sticker,Door see human thing from view.,,['natural'],['https://www.wang.info/'],15,3391,66,Scott Cuevas,nosborne,194
5,993,2025-01-20T23:41:21,link,Eat head cost customer.,,['mother'],['http://www.morris.com/'],39,3361,51,Aaron Garcia,kimberly63,144
6,548,2025-01-15T09:22:15,text,Drug bag story long past create camera end.,,"['reflect', 'most', 'history']","['https://galvan.com/', 'https://www.hancock.com/']",9,2881,85,Anne Johnson,gregory93,126
7,23,2025-01-14T17:47:10,sticker,Price fact within keep role concern shake seem.,,"['easy', 'history', 'today']","['https://vazquez.biz/', 'https://www.hernandez.com/']",46,2885,195,Leslie Barrett,smithbreanna,140
8,191,2025-01-14T02:41:32,media,Lay child computer pick American.,https://ellis.com/,"['story', 'quality', 'above']","['http://www.ball.com/', 'http://www.wilson.com/']",32,4443,15,Sherry Garner,joseph71,128
9,996,2025-01-08T15:09:28,sticker,This trouble culture father stock.,https://blair.com/,"['professional', 'entire', 'open']",['http://miller.info/'],11,3488,35,Andrea Frank,espencer,81
10,105,2025-01-28T16:53:00,sticker,Prevent civil feeling win add need could ask.,,"['season', 'yourself']",[],15,4285,52,Hannah Brown,blakefitzgerald,167
11,289,2025-01-07T06:42:12,text,Most commercial heavy realize also law.,,[],['https://clark.com/'],17,2751,140,Alexander Johnson,haley86,61
12,276,2025-01-20T05:09:06,media,Structure standard appear out nothing.,http://www.ward.info/,"['control', 'baby', 'write']",[],49,928,187,Alex Klein,robert40,83
13,129,2025-01-10T11:24:36,link,Between wear design place hand fine around.,,['modern'],['http://www.perez-nelson.net/'],7,1440,84,Alicia Welch,elliottmelissa,119
14,733,2025-01-14T07:11:05,media,Happen actually quite detail.,https://wood-hoover.org/,[],['http://www.reynolds.com/'],16,3758,193,Desiree Anderson,allenvanessa,182
15,449,2025-01-02T00:57:05,media,Stand act surface wonder open whether.,http://anderson-chavez.org/,[],[],44,3509,169,Nathaniel Brown,hwiggins,124
16,745,2025-01-08T10:25:00,media,View number buy happy expect.,,[],['http://williams.com/'],15,3056,15,Lisa Chambers,jeremycontreras,132
17,9,2025-01-01T00:53:48,media,Production among act it former ready of.,,"['art', 'move']","['http://www.williams-powell.com/', 'https://www.newton.com/']",42,1449,60,Katrina Robbins,froy,143
18,239,2025-01-14T00:40:55,text,Tree direction every card term.,,"['matter', 'other']","['http://www.moyer.com/', 'https://hall.com/']",27,4528,126,Donald Weber,adawson,190
19,93,2025-01-06T09:52:47,sticker,On need feel anyone realize particularly TV theory.,,"['before', 'though', 'once']",[],12,4873,18,Amanda Cox,ohanna,188
20,155,2025-01-25T04:16:59,link,Itself like agent factor.,,['become'],"['http://www.murphy.org/', 'https://dominguez.biz/']",30,1332,144,Dana Jackson,michelle73,21
21,16,2025-01-20T19:05:11,link,Fact power use weight.,,"['or', 'else', 'rule']","['https://clayton-stephens.biz/', 'http://www.andrews-brown.com/']",45,4446,156,Michelle Hendricks,tracy38,27
22,506,2025-01-10T04:41:31,sticker,Step easy likely take throw interest certainly.,,[],[],50,3570,179,Mr. John Bailey,veronicacarroll,109
23,223,2025-01-14T07:07:12,link,Hope truth we front human.,https://www.ramos.com/,"['old', 'future', 'degree']",['https://www.williams-valdez.com/'],6,3125,195,Michael Jones,karen89,180
24,351,2025-01-01T17:52:41,media,Your sing red him process firm image.,,[],['https://arnold.com/'],44,2334,9,Beth Mccoy DVM,morenostephen,20
25,431,2025-01-20T08:52:09,text,Late machine sure person nor.,,['a'],['http://www.hart.net/'],46,3583,88,Bryan Snow,linda11,97
26,320,2025-01-03T13:39:01,media,Develop girl street threat.,,[],['https://www.schmidt.com/'],32,2320,18,Jason Taylor,tbrown,33
27,805,2025-01-02T17:14:27,media,Contain movie state sport then soldier admit play.,,"['well', 'about']",['http://salinas-harmon.net/'],39,812,106,Donald Hill,munozkeith,194
28,819,2025-01-13T12:20:42,text,Agree receive western strategy difficult avoid.,,"['attention', 'mention', 'to']",['https://www.barrett.org/'],11,717,153,Andrea Carey,brandonjones,4
29,511,2025-01-04T23:34:58,link,Somebody when discuss environment market.,,"['best', 'something', 'manage']",['http://www.logan.org/'],12,850,189,Carrie Watts,mhuang,42
30,381,2025-01-29T08:23:54,text,Pull pattern seat student must information control.,,"['cut', 'religious']","['http://www.richards.com/', 'http://www.hubbard.net/']",37,734,156,Christopher Cook,jamieaguirre,134
31,475,2025-01-27T19:58:11,sticker,Individual create total benefit week never throw.,,"['share', 'go']","['https://www.molina.biz/', 'https://carrillo-caldwell.org/']",40,134,20,Sarah Jones,millerjenny,192
32,714,2025-01-27T16:21:55,sticker,Eat industry stay hit street activity will.,https://peterson-wilkerson.com/,"['seat', 'military']",['https://vargas-moody.com/'],40,3369,141,Shannon Dixon,kristin22,32
33,811,2025-01-09T15:26:10,sticker,Former society foot pay film war.,https://long.org/,[],[],9,849,122,Alexis Morgan,samantha39,43
34,33,2025-01-10T11:04:10,text,Medical knowledge require yes.,,"['most', 'sing']",['http://www.davis-santos.org/'],14,4066,33,Stephanie Torres,elizabethritter,51
